web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597855768-1717","https://www.serebii.net//attackdex-sm/constrict.shtml","Constrict","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","10","The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target's  Speed stat.","May lower opponent's Speed one stage.","10 %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855182-1425","https://www.serebii.net//attackdex-sm/mistyterrain.shtml","Misty Terrain","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.","Activates Misty Terrain for 5 turns","-- %","0","None","Field","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855290-1479","https://www.serebii.net//attackdex-sm/leafage.shtml","Leafage","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","40","The user attacks by pelting the target with leaves.","No effect.","-- %","0","4.17%","Selected Target","No","100","Bloom Doom","100","Bloom Doom","null"
"1597854617-1147","https://www.serebii.net//attackdex-sm/transform.shtml","Transform","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user transforms into a copy of the target right down to having the same move set.","User transforms to the opponent.","-- %","0","None","Selected Target","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597854766-1220","https://www.serebii.net//attackdex-sm/splash.shtml","Splash","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user just flops and splashes around to no effect at all...","No effect.","-- %","0","None","Self","No","0","null","null","Attack ↥↥↥","Boosts Attack by 3 stages"
"1597855740-1703","https://www.serebii.net//attackdex-sm/crosschop.shtml","Cross Chop","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","100","The user delivers a double chop with its forearms crossed. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","Yes","80","All-Out Pummeling","180","All-Out Pummeling","null"
"1597855624-1645","https://www.serebii.net//attackdex-sm/ember.shtml","Ember","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","40","The target is attacked with small flames. This may also leave the target with a burn.","May induce burn.","10 %","0","4.17%","Selected Target","No","100","Inferno Overdrive","100","Inferno Overdrive","null"
"1597855660-1663","https://www.serebii.net//attackdex-sm/dragontail.shtml","Dragon Tail","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/physical.png","60","The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","Forces opponent to switch Pokémon.","-- %","-6","4.17%","Selected Target","Yes","90","Devastating Drake","120","Devastating Drake","null"
"1597855270-1469","https://www.serebii.net//attackdex-sm/lock-on.shtml","Lock-On","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user takes sure aim at the target. This ensures the next attack does not miss the target.","Ensures that user's next move will not fail.","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855078-1373","https://www.serebii.net//attackdex-sm/poisonpowder.shtml","Poison Powder","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","The user scatters a cloud of poisonous dust that poisons the target.","Induces Poison.","-- %","0","None","Selected Target","No","75","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855056-1362","https://www.serebii.net//attackdex-sm/powertrip.shtml","Power Trip","/pokedex-bw/type/dark.gif","/pokedex-bw/type/physical.png","20","The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.","Increases damage by 100% for each stage a stat has been increased by the user","-- %","0","4.17%","Selected Target","Yes","100","Black Hole Eclipse","160","Black Hole Eclipse","null"
"1597855142-1405","https://www.serebii.net//attackdex-sm/nightslash.shtml","Night Slash","/pokedex-bw/type/dark.gif","/pokedex-bw/type/physical.png","70","The user slashes the target the instant an opportunity arises. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","Yes","100","Black Hole Eclipse","140","Black Hole Eclipse","null"
"1597855340-1504","https://www.serebii.net//attackdex-sm/icywind.shtml","Icy Wind","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","55","The user attacks with a gust of chilled air. This also lowers the opposing Pokémon's Speed stats.","May lower opponent's Speed one stage.","100 %","0","4.17%","All Adjacent Foes","No","95","Subzero Slammer","100","Subzero Slammer","null"
"1597855688-1677","https://www.serebii.net//attackdex-sm/doublehit.shtml","Double Hit","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","35","The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row.","Attacks twice in a row.","-- %","0","4.17%","Selected Target","Yes","90","Breakneck Blitz","140","Breakneck Blitz","null"
"1597855949-1806","https://www.serebii.net//attackdex-sm/agility.shtml","Agility","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.","Raises user's Speed two stages.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855118-1393","https://www.serebii.net//attackdex-sm/painsplit.shtml","Pain Split","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user adds its HP to the target's HP, then equally shares the combined HP with the target.","User and opponent's Hit Points are added up and then shared equally","-- %","0","None","Selected Target","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855436-1552","https://www.serebii.net//attackdex-sm/hammerarm.shtml","Hammer Arm","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","100","The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.","Lowers user's Speed one stage.","100 %","0","4.17%","Selected Target","Yes","90","All-Out Pummeling","180","All-Out Pummeling","null"
"1597855754-1710","https://www.serebii.net//attackdex-sm/cosmicpower.shtml","Cosmic Power","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.","Raises user's Defense and Special Defense one stage.","-- %","0","None","Self","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855148-1408","https://www.serebii.net//attackdex-sm/never-endingnightmare.shtml","Never-Ending Nightmare","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/physical.png","1","Deep-seated grudges summoned by the user's Z-Power trap the target. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855023-1346","https://www.serebii.net//attackdex-sm/psystrike.shtml","Psystrike","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","100","The user materializes an odd psychic wave to attack the target. This attack does physical damage.","Inflicts physical damage","-- %","0","4.17%","Selected Target","No","100","Shattered Psyche","180","Shattered Psyche","null"
"1597855662-1664","https://www.serebii.net//attackdex-sm/dragonrush.shtml","Dragon Rush","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/physical.png","100","The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.","May cause opponent to flinch.","20 %","0","4.17%","Selected Target","Yes","75","Devastating Drake","180","Devastating Drake","null"
"1597855288-1478","https://www.serebii.net//attackdex-sm/leechlife.shtml","Leech Life","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","80","The user drains the target's blood. The user's HP is restored by half the damage taken by the target.","User recovers half the damage inflicted.","-- %","0","4.17%","Selected Target","Yes","100","Savage Spin-Out","160","Savage Spin-Out","null"
"1597854962-1317","https://www.serebii.net//attackdex-sm/roar.shtml","Roar","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","Ends wild battles.","-- %","-6","None","Selected Target","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855001-1335","https://www.serebii.net//attackdex-sm/ragepowder.shtml","Rage Powder","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The user scatters a cloud of irritating powder to draw attention to itself. Opponents aim only at the user.","Draws Attacks towards the user rather than ally","-- %","2","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854855-1264","https://www.serebii.net//attackdex-sm/sing.shtml","Sing","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.","Induces sleep.","-- %","0","None","Selected Target","No","55","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855529-1598","https://www.serebii.net//attackdex-sm/focusenergy.shtml","Focus Energy","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user takes a deep breath and focuses so that critical hits land more easily.","Increases user's critical hit rate.","-- %","0","None","Self","No","0","null","null","Accuracy ↥","Boosts Accuracy by 1 stage"
"1597855122-1395","https://www.serebii.net//attackdex-sm/outrage.shtml","Outrage","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/physical.png","120","The user rampages and attacks for two to three turns. The user then becomes confused.","User uses the same Attack for 2-3 turns then becomes confused.","-- %","0","4.17%","Random Target","Yes","100","Devastating Drake","190","Devastating Drake","null"
"1597855132-1400","https://www.serebii.net//attackdex-sm/oceanicoperetta.shtml","Oceanic Operetta","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","195","The user, Primarina, summons a massive amount of  water using its Z-Power and attacks the target with  full force.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855864-1764","https://www.serebii.net//attackdex-sm/block.shtml","Block","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user blocks the target's way with arms spread wide to prevent escape.","Prevents the opponent from escaping.","-- %","0","None","Selected Target","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855533-1600","https://www.serebii.net//attackdex-sm/flyingpress.shtml","Flying Press","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","100","The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.","Has a secondary Flying-type","-- %","0","4.17%","Selected Target","Yes","95","All-Out Pummeling","170","All-Out Pummeling","null"
"1597854715-1195","https://www.serebii.net//attackdex-sm/subzeroslammer.shtml","Subzero Slammer","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","1","The user dramatically drops the temperature using its Z-Power and freezes the target with full force. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855208-1438","https://www.serebii.net//attackdex-sm/meteormash.shtml","Meteor Mash","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","90","The target is hit with a hard punch fired like a meteor. This may also raise the user's Attack stat.","May raise user's Attack one stage.","20 %","0","4.17%","Selected Target","Yes","90","Corkscrew Crash","175","Corkscrew Crash","null"
"1597855212-1440","https://www.serebii.net//attackdex-sm/metalclaw.shtml","Metal Claw","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","50","The target is raked with steel claws. This may also raise the user's Attack stat.","May raise user's Attack one stage.","10 %","0","4.17%","Selected Target","Yes","95","Corkscrew Crash","100","Corkscrew Crash","null"
"1597854517-1097","https://www.serebii.net//attackdex-sm/zingzap.shtml","Zing Zap","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","80","A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","Yes","100","Gigavolt Havoc","160","Gigavolt Havoc","null"
"1597854919-1296","https://www.serebii.net//attackdex-sm/sandstorm.shtml","Sandstorm","/pokedex-bw/type/rock.gif","/pokedex-bw/type/other.png","0","A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types.","Causes a Sandstorm for 5 turns.","-- %","0","None","Field","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597854638-1157","https://www.serebii.net//attackdex-sm/thunderpunch.shtml","Thunder Punch","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","75","The target is punched with an electrified fist. This may also leave the target with paralysis.","May induce paralysis.","10 %","0","4.17%","Selected Target","Yes","100","Gigavolt Havoc","140","Gigavolt Havoc","null"
"1597855807-1736","https://www.serebii.net//attackdex-sm/captivate.shtml","Captivate","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat.","Lowers opponent's Special Attack by two stages if of an opposite gender to the user.","-- %","0","None","All Adjacent Foes","No","100","null","null","Special Defense ↥↥","Boosts Special Defense by 2 stages"
"1597855777-1721","https://www.serebii.net//attackdex-sm/cometpunch.shtml","Comet Punch","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","18","The target is hit with a flurry of punches that strike two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","Yes","85","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855700-1683","https://www.serebii.net//attackdex-sm/disarmingvoice.shtml","Disarming Voice","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/special.png","40","Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.","Never Misses.","-- %","0","4.17%","All Adjacent Foes","No","0","Twinkle Tackle","100","Twinkle Tackle","null"
"1597854577-1127","https://www.serebii.net//attackdex-sm/vitalthrow.shtml","Vital Throw","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","70","The user attacks last. In return, this throw move never misses.","Cannot miss. Goes last.","-- %","-1","4.17%","Selected Target","Yes","0","All-Out Pummeling","140","All-Out Pummeling","null"
"1597855551-1609","https://www.serebii.net//attackdex-sm/flareblitz.shtml","Flare Blitz","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","120","The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.","User receives 1/3rd of damage in re-coil. May BURN opponent.","10 %","0","4.17%","Selected Target","Yes","100","Inferno Overdrive","190","Inferno Overdrive","null"
"1597855298-1483","https://www.serebii.net//attackdex-sm/lavaplume.shtml","Lava Plume","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","80","The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.","May induce burn.","30 %","0","4.17%","All Adjacent Pokémon","No","100","Inferno Overdrive","160","Inferno Overdrive","null"
"1597854841-1257","https://www.serebii.net//attackdex-sm/skydrop.shtml","Sky Drop","/pokedex-bw/type/flying.gif","/pokedex-bw/type/physical.png","60","The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky.","Rises to the sky and prevents the target Pokémon from using a move in the next turn.","-- %","0","4.17%","Selected Target","Yes","100","Supersonic Skystrike","120","Supersonic Skystrike","null"
"1597854718-1196","https://www.serebii.net//attackdex-sm/substitute.shtml","Substitute","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.","Creates a decoy using 1/4 of the user's maximum HP.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854981-1325","https://www.serebii.net//attackdex-sm/refresh.shtml","Refresh","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user rests to cure itself of poisoning, a burn, or paralysis.","Heals poison, paralysis, or a burn.","-- %","0","None","Self","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597854795-1235","https://www.serebii.net//attackdex-sm/sonicboom.shtml","Sonic Boom","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","1","The target is hit with a destructive shock wave that always inflicts 20 HP damage.","Inflicts 20 HP damage.","-- %","0","4.17%","Selected Target","No","90","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855380-1524","https://www.serebii.net//attackdex-sm/howl.shtml","Howl","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user howls loudly to raise its spirit, which raises its Attack stat.","Raises user's Attack one stage.","-- %","0","None","Self","No","0","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597855096-1382","https://www.serebii.net//attackdex-sm/pikapapow.shtml","Pika Papow","/pokedex-bw/type/electric.gif","/pokedex-bw/type/special.png","1","The more Pikachu loves its Trainer, the greater the move’s power. It never misses.","The happier the user, the stronger the Attack.","-- %","0","4.17%","Selected Target","No","101","","","","null"
"1597855194-1431","https://www.serebii.net//attackdex-sm/miracleeye.shtml","Miracle Eye","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.","Removes Psychic-type's immunity to Dark-type. Removes Evasion boosts on the target during the next turn.","-- %","0","None","Selected Target","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854729-1202","https://www.serebii.net//attackdex-sm/strengthsap.shtml","Strength Sap","/pokedex-bw/type/grass.gif","/pokedex-bw/type/other.png","0","The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.","Heals user of Hit Points equal to target's Attack stat. Lowers target's Attack by 1 stage","100 %","0","None","Selected Target","No","100","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855969-1816","https://www.serebii.net//attackdex-sm/accelerock.shtml","Accelerock","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","40","The user smashes into the target at high speed. This move always goes first.","Has increased Speed Priority","-- %","1","4.17%","Selected Target","Yes","100","Continental Crush","100","Continental Crush","null"
"1597854591-1134","https://www.serebii.net//attackdex-sm/v-create.shtml","V-create","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","180","With a hot flame on its forehead, the user hurls itself at its target. This lowers the user's Defense, Sp. Def, and Speed stats.","Lowers user's Defense, Special Defense & Speed one stage.","100 %","0","4.17%","Selected Target","Yes","95","Inferno Overdrive","220","Inferno Overdrive","null"
"1597855547-1607","https://www.serebii.net//attackdex-sm/flashcannon.shtml","Flash Cannon","/pokedex-bw/type/steel.gif","/pokedex-bw/type/special.png","80","The user gathers all its light energy and releases it all at once. This may also lower the target's Sp. Def stat.","May lower opponent's Special Defense one stage.","10 %","0","4.17%","Selected Target","No","100","Corkscrew Crash","160","Corkscrew Crash","null"
"1597855097-1383","https://www.serebii.net//attackdex-sm/photongeyser.shtml","Photon Geyser","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","100","The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damage—whichever stat is higher for the user.","Damage inflicted depends on user's Attack or Special Attack. Highest stat used to determine if move is Physical or Special. Ignores abilities","-- %","0","4.17%","Selected Target","No","100","Shattered Psyche","180","Shattered Psyche","null"
"1597855300-1484","https://www.serebii.net//attackdex-sm/lastresort.shtml","Last Resort","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","140","This move can be used only after the user has used all the other moves it knows in the battle.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","200","Breakneck Blitz","null"
"1597855048-1358","https://www.serebii.net//attackdex-sm/present.shtml","Present","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.","May hit or heal the user or the opponent.","-- %","0","4.17%","Selected Target","No","90","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855730-1698","https://www.serebii.net//attackdex-sm/curse.shtml","Curse","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/other.png","0","A move that works differently for the Ghost type than for all other types.","Ghost type Pokémon: User loses half their maximum HP, and the opponent gets a Nightmare. Other Pokémon types: Raises user's Attack and Defense one stage. Lowers user's Speed one stage.","-- %","0","None","Special","No","0","null","null","Attack ↥ / Restores Hit Points","Ghost-type: Heals the Hit Points of this Pokémon
Other: Boosts Attack by 1 stage"
"1597855414-1541","https://www.serebii.net//attackdex-sm/healingwish.shtml","Healing Wish","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.","Recovers Pokémon switched in if user is Knocked Out.","-- %","0","None","Self","No","0","null","null","",""
"1597854531-1104","https://www.serebii.net//attackdex-sm/worryseed.shtml","Worry Seed","/pokedex-bw/type/grass.gif","/pokedex-bw/type/other.png","0","A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia.","Changes the opponent's ability to Insomnia","-- %","0","None","Selected Target","No","100","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597854822-1248","https://www.serebii.net//attackdex-sm/sludgewave.shtml","Sludge Wave","/pokedex-bw/type/poison.gif","/pokedex-bw/type/special.png","95","The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.","May induce poison.","10 %","0","4.17%","All Adjacent Pokémon","No","100","Acid Downpour","175","Acid Downpour","null"
"1597854533-1105","https://www.serebii.net//attackdex-sm/workup.shtml","Work Up","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user is roused, and its Attack and Sp. Atk stats increase.","Raises user's Attack & Special Attack one stage.","-- %","0","None","Self","No","0","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597854905-1289","https://www.serebii.net//attackdex-sm/searingshot.shtml","Searing Shot","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","100","The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.","May induce burn.","30 %","0","4.17%","All Adjacent Pokémon","No","100","Inferno Overdrive","180","Inferno Overdrive","null"
"1597855678-1672","https://www.serebii.net//attackdex-sm/dracometeor.shtml","Draco Meteor","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/special.png","130","Comets are summoned down from the sky onto the target. The attack's recoil harshly lowers the user's Sp. Atk stat.","Lowers user's Special Attack two stages.","100 %","0","4.17%","Selected Target","No","90","Devastating Drake","195","Devastating Drake","null"
"1597855583-1625","https://www.serebii.net//attackdex-sm/fellstinger.shtml","Fell Stinger","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","50","When the user knocks out a target with this move, the user's Attack stat rises drastically.","Raises user's Attack three stages if it knocks the target out.","-- %","0","4.17%","Selected Target","Yes","100","Savage Spin-Out","100","Savage Spin-Out","null"
"1597854873-1273","https://www.serebii.net//attackdex-sm/sheercold.shtml","Sheer Cold","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","1","The target faints instantly. It's less likely to hit the target if it's used by Pokémon other than Ice types.","May cause one-hit KO.","-- %","0","4.17%","Selected Target","No","30","Subzero Slammer","180","Subzero Slammer","null"
"1597855527-1597","https://www.serebii.net//attackdex-sm/focuspunch.shtml","Focus Punch","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","150","The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.","Moves first in turn to charge, and last in the same turn to Attack. If damaged between this, the user flinches.","-- %","-3","4.17%","Selected Target","Yes","100","All-Out Pummeling","200","All-Out Pummeling","null"
"1597855565-1616","https://www.serebii.net//attackdex-sm/firstimpression.shtml","First Impression","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","90","Although this move has great power, it only works the first turn the user is in battle.","Only works on first turn user is in battle","-- %","2","4.17%","Selected Target","Yes","100","Savage Spin-Out","175","Savage Spin-Out","null"
"1597855703-1684","https://www.serebii.net//attackdex-sm/disable.shtml","Disable","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","For four turns, this move prevents the target from using the move it last used.","Disables opponent's last move.","-- %","0","None","Selected Target","No","100","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854654-1165","https://www.serebii.net//attackdex-sm/teleport.shtml","Teleport","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","Use it to flee from any wild Pokémon.","Ends wild battles.","-- %","0 (SMUSUM)
-6 (Let's Go)","None","Self","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597855496-1582","https://www.serebii.net//attackdex-sm/fusionbolt.shtml","Fusion Bolt","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","100","The user throws down a giant lightning bolt. This move's power is increased when influenced by an enormous flame.","Doubles damage if ally used Fusion Flare this turn","-- %","0","4.17%","Selected Target","No","100","Gigavolt Havoc","180","Gigavolt Havoc","null"
"1597855829-1747","https://www.serebii.net//attackdex-sm/bubblebeam.shtml","Bubble Beam","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","65","A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.","May lower opponent's Speed one stage.","10 %","0","4.17%","Selected Target","No","100","Hydro Vortex","120","Hydro Vortex","null"
"1597855543-1605","https://www.serebii.net//attackdex-sm/fleurcannon.shtml","Fleur Cannon","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/special.png","130","The user unleashes a strong beam. The attack's recoil harshly lowers the user's Sp. Atk stat.","Lowers user's Special Attack two stages.","100 %","0","4.17%","Selected Target","No","90","Twinkle Tackle","195","Twinkle Tackle","null"
"1597855054-1361","https://www.serebii.net//attackdex-sm/powerwhip.shtml","Power Whip","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","120","The user violently whirls its vines, tentacles, or the  like to harshly lash the target.","No effect.","-- %","0","4.17%","Selected Target","Yes","85","Bloom Doom","190","Bloom Doom","null"
"1597855472-1570","https://www.serebii.net//attackdex-sm/glare.shtml","Glare","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user intimidates the target with the pattern on its belly to cause paralysis.","Induces Paralysis","-- %","0","None","Selected Target","No","100","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855366-1517","https://www.serebii.net//attackdex-sm/hypervoice.shtml","Hyper Voice","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","90","The user lets loose a horribly echoing shout with the power to inflict damage.","No effect.","-- %","0","4.17%","All Adjacent Foes","No","100","Breakneck Blitz","175","Breakneck Blitz","null"
"1597855856-1760","https://www.serebii.net//attackdex-sm/boltstrike.shtml","Bolt Strike","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","130","The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.","May induce paralysis.","20 %","0","4.17%","Selected Target","Yes","85","Gigavolt Havoc","195","Gigavolt Havoc","null"
"1597855350-1509","https://www.serebii.net//attackdex-sm/icehammer.shtml","Ice Hammer","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","100","The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.","Lowers user's Speed one stage.","100 %","0","4.17%","Selected Target","Yes","90","Subzero Slammer","180","Subzero Slammer","null"
"1597855268-1468","https://www.serebii.net//attackdex-sm/lovelykiss.shtml","Lovely Kiss","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.","Induces sleep.","-- %","0","None","Selected Target","No","75","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597854837-1255","https://www.serebii.net//attackdex-sm/slackoff.shtml","Slack Off","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user slacks off, restoring its own HP by up to half of its max HP.","User recovers half the maximum HP.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855358-1513","https://www.serebii.net//attackdex-sm/iceball.shtml","Ice Ball","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","30","The user attacks the target for five turns. The move's power increases each time it hits.","Uses the same move for 5 turns; move's power raises if it hits.","-- %","0","4.17%","Selected Target","Yes","90","Subzero Slammer","100","Subzero Slammer","null"
