web-scraper-order,web-scraper-start-url,PrimaryType,SecondaryType,DexNum,Name,Form,FormPrimaryType,FormSecondaryType
"1596755386-6140","https://www.serebii.net/pokedex-sm/049.shtml","Bug-type","Poison-type","49","Venomoth","","",""
"1596754802-5828","https://www.serebii.net/pokedex-swsh/barboach","Water-type","Ground-type","339","Barboach","","",""
"1596753771-5289","https://www.serebii.net/pokedex-swsh/sinistea","Ghost-type","null","854","Sinistea","","",""
"1596755319-6095","https://www.serebii.net/pokedex-swsh/magneton","null","null","82","Magneton","","",""
"1596755076-5967","https://www.serebii.net/pokedex-sm/203.shtml","Normal-type","Psychic-type","203","Girafarig","","",""
"1596755246-6053","https://www.serebii.net/pokedex-swsh/goldeen","Water-type","null","118","Goldeen","","",""
"1596754988-5922","https://www.serebii.net/pokedex-swsh/pupitar","Rock-type","Ground-type","247","Pupitar","","",""
"1596754207-5514","https://www.serebii.net/pokedex-swsh/larvesta","Bug-type","Fire-type","636","Larvesta","","",""
"1596755110-5984","https://www.serebii.net/pokedex-swsh/politoed","Water-type","null","186","Politoed","","",""
"1596754732-5790","https://www.serebii.net/pokedex-sm/374.shtml","Steel-type","Psychic-type","374","Beldum","","",""
"1596754762-5805","https://www.serebii.net/pokedex-sm/359.shtml","Dark-type","null","359","Absol","","",""
"1596754650-5747","https://www.serebii.net/pokedex-swsh/combee","Bug-type","Flying-type","415","Combee","","",""
"1596754941-5897","https://www.serebii.net/pokedex-swsh/lotad","Water-type","Grass-type","270","Lotad","","",""
"1596754835-5844","https://www.serebii.net/pokedex-sm/323.shtml","Fire-type","Ground-type","323","Camerupt","","",""
"1596755140-5999","https://www.serebii.net/pokedex-swsh/lanturn","Water-type","Electric-type","171","Lanturn","","",""
"1596754866-5859","https://www.serebii.net/pokedex-sm/308.shtml","Fighting-type","Psychic-type","308","Medicham","","",""
"1596755430-6165","https://www.serebii.net/pokedex-swsh/sandshrew","Ground-type","Steel-type","27","Sandshrew","Normal","Ground-type","null"
"1596755056-5957","https://www.serebii.net/pokedex-swsh/shuckle","Bug-type","Rock-type","213","Shuckle","","",""
"1596754542-5693","https://www.serebii.net/pokedex-sm/469.shtml","Bug-type","Flying-type","469","Yanmega","","",""
"1596753835-5321","https://www.serebii.net/pokedex-swsh/corvisquire","Flying-type","null","822","Corvisquire","","",""
"1596755160-6009","https://www.serebii.net/pokedex-sm/161.shtml","Normal-type","null","161","Sentret","","",""
"1596754943-5898","https://www.serebii.net/pokedex-sm/269.shtml","Bug-type","Poison-type","269","Dustox","","",""
"1596753736-5272","https://www.serebii.net/pokedex-swsh/pincurchin","Electric-type","null","871","Pincurchin","","",""
"1596754620-5732","https://www.serebii.net/pokedex-sm/430.shtml","Dark-type","Flying-type","430","Honchkrow","","",""
"1596754708-5778","https://www.serebii.net/pokedex-sm/386.shtml","Psychic-type","null","386","Deoxys","","",""
"1596754195-5508","https://www.serebii.net/pokedex-sm/642.shtml","Electric-type","Flying-type","642","Thundurus","","",""
"1596754249-5536","https://www.serebii.net/pokedex-sm/615.shtml","Ice-type","null","615","Cryogonal","","",""
"1596754784-5819","https://www.serebii.net/pokedex-sm/348.shtml","Rock-type","Bug-type","348","Armaldo","","",""
"1596754510-5672","https://www.serebii.net/pokedex-sm/485.shtml","Fire-type","Steel-type","485","Heatran","","",""
"1596755450-6178","https://www.serebii.net/pokedex-sm/018.shtml","Normal-type","Flying-type","18","Pidgeot","","",""
"1596753841-5324","https://www.serebii.net/pokedex-swsh/skwovet","Normal-type","null","819","Skwovet","","",""
"1596755412-6155","https://www.serebii.net/pokedex-swsh/clefable","Fairy-type","null","36","Clefable","","",""
"1596754402-5617","https://www.serebii.net/pokedex-swsh/sawk","Fighting-type","null","539","Sawk","","",""
"1596755432-6167","https://www.serebii.net/pokedex-swsh/raichu","Electric-type","Psychic-type","26","Raichu","Normal","Electric-type","null"
"1596754390-5611","https://www.serebii.net/pokedex-swsh/scolipede","Bug-type","Poison-type","545","Scolipede","","",""
"1596754085-5452","https://www.serebii.net/pokedex-sm/697.shtml","Rock-type","Dragon-type","697","Tyrantrum","","",""
"1596754496-5664","https://www.serebii.net/pokedex-sm/492.shtml","Grass-type","Flying-type","492","Shaymin","Land Forme","Grass-type","null"
"1596754174-5496","https://www.serebii.net/pokedex-sm/653.shtml","Fire-type","null","653","Fennekin","","",""
"1596755012-5934","https://www.serebii.net/pokedex-sm/235.shtml","Normal-type","null","235","Smeargle","","",""
"1596753983-5397","https://www.serebii.net/pokedex-swsh/toxapex","Poison-type","Water-type","748","Toxapex","","",""
"1596754255-5539","https://www.serebii.net/pokedex-swsh/haxorus","Dragon-type","null","612","Haxorus","","",""
"1596755312-6090","https://www.serebii.net/pokedex-sm/086.shtml","Water-type","null","86","Seel","","",""
"1596755218-6038","https://www.serebii.net/pokedex-swsh/ditto","Normal-type","null","132","Ditto","","",""
"1596755301-6083","https://www.serebii.net/pokedex-swsh/cloyster","Water-type","Ice-type","91","Cloyster","","",""
"1596754566-5705","https://www.serebii.net/pokedex-sm/457.shtml","Water-type","null","457","Lumineon","","",""
"1596755436-6170","https://www.serebii.net/pokedex-sm/024.shtml","Poison-type","null","24","Arbok","","",""
"1596753783-5295","https://www.serebii.net/pokedex-swsh/toxel","Electric-type","Poison-type","848","Toxel","","",""
"1596755186-6022","https://www.serebii.net/pokedex-sm/148.shtml","Dragon-type","null","148","Dragonair","","",""
"1596754127-5473","https://www.serebii.net/pokedex-sm/676.shtml","Normal-type","null","676","Furfrou","","",""
"1596754149-5484","https://www.serebii.net/pokedex-sm/665.shtml","Bug-type","null","665","Spewpa","","",""
"1596753929-5370","https://www.serebii.net/pokedex-sm/775.shtml","Normal-type","null","775","Komala","","",""
"1596754226-5523","https://www.serebii.net/pokedex-swsh/rufflet","Normal-type","Flying-type","627","Rufflet","","",""
"1596753873-5340","https://www.serebii.net/pokedex-sm/803.shtml","Poison-type","null","803","Poipole","","",""
"1596755086-5972","https://www.serebii.net/pokedex-sm/198.shtml","Dark-type","Flying-type","198","Murkrow","","",""
"1596753831-5319","https://www.serebii.net/pokedex-swsh/blipbug","Bug-type","null","824","Blipbug","","",""
"1596755381-6137","https://www.serebii.net/pokedex-swsh/dugtrio","Ground-type","Steel-type","51","Dugtrio","Alolan","Ground-type","Steel-type"
"1596754772-5810","https://www.serebii.net/pokedex-sm/354.shtml","Ghost-type","null","354","Banette","","",""
"1596755040-5949","https://www.serebii.net/pokedex-swsh/piloswine","Ice-type","Ground-type","221","Piloswine","","",""
"1596754550-5697","https://www.serebii.net/pokedex-swsh/tangrowth","Grass-type","null","465","Tangrowth","","",""
"1596754167-5493","https://www.serebii.net/pokedex-sm/656.shtml","Water-type","null","656","Froakie","","",""
"1596754833-5843","https://www.serebii.net/pokedex-swsh/torkoal","Fire-type","null","324","Torkoal","","",""
"1596754524-5684","https://www.serebii.net/pokedex-swsh/froslass","Ice-type","Ghost-type","478","Froslass","","",""
"1596755334-6108","https://www.serebii.net/pokedex-sm/075.shtml","Rock-type","Ground-type","75","Graveler","Alolan","Rock-type","Electric-type"
"1596755034-5945","https://www.serebii.net/pokedex-swsh/octillery","Water-type","null","224","Octillery","","",""
"1596754396-5614","https://www.serebii.net/pokedex-sm/542.shtml","Bug-type","Grass-type","542","Leavanny","","",""
"1596753977-5394","https://www.serebii.net/pokedex-swsh/dewpider","Water-type","Bug-type","751","Dewpider","","",""
"1596755100-5979","https://www.serebii.net/pokedex-sm/191.shtml","Grass-type","null","191","Sunkern","","",""
"1596754935-5894","https://www.serebii.net/pokedex-swsh/seedot","Grass-type","null","273","Seedot","","",""
"1596753923-5367","https://www.serebii.net/pokedex-swsh/mimikyu","Ghost-type","Fairy-type","778","Mimikyu","","",""
"1596754273-5548","https://www.serebii.net/pokedex-sm/603.shtml","Electric-type","null","603","Eelektrik","","",""
"1596755118-5988","https://www.serebii.net/pokedex-swsh/bellossom","Grass-type","null","182","Bellossom","","",""
"1596755323-6098","https://www.serebii.net/pokedex-swsh/slowbro","Water-type","Psychic-type","80","Slowbro","Galarian","Poison-type","Psychic-type"
"1596754798-5826","https://www.serebii.net/pokedex-swsh/corphish","Water-type","null","341","Corphish","","",""
"1596754081-5450","https://www.serebii.net/pokedex-sm/699.shtml","Rock-type","Ice-type","699","Aurorus","","",""
"1596754572-5708","https://www.serebii.net/pokedex-swsh/toxicroak","Poison-type","Fighting-type","454","Toxicroak","","",""
"1596755026-5941","https://www.serebii.net/pokedex-sm/228.shtml","Dark-type","Fire-type","228","Houndour","","",""
"1596755156-6007","https://www.serebii.net/pokedex-swsh/hoothoot","Normal-type","Flying-type","163","Hoothoot","","",""
"1596755428-6163","https://www.serebii.net/pokedex-swsh/sandslash","Ground-type","Steel-type","28","Sandslash","Normal","Ground-type","null"
"1596754678-5763","https://www.serebii.net/pokedex-sm/401.shtml","Bug-type","null","401","Kricketot","","",""
"1596753935-5373","https://www.serebii.net/pokedex-swsh/type:null","Normal-type","null","772","Type: Null","","",""
"1596753943-5377","https://www.serebii.net/pokedex-swsh/golisopod","Bug-type","Water-type","768","Golisopod","","",""
"1596754051-5435","https://www.serebii.net/pokedex-swsh/noibat","Flying-type","Dragon-type","714","Noibat","","",""
"1596754414-5623","https://www.serebii.net/pokedex-swsh/gurdurr","Fighting-type","null","533","Gurdurr","","",""
"1596754374-5603","https://www.serebii.net/pokedex-swsh/krookodile","Ground-type","Dark-type","553","Krookodile","","",""
"1596755152-6005","https://www.serebii.net/pokedex-sm/165.shtml","Bug-type","Flying-type","165","Ledyba","","",""
"1596754130-5474","https://www.serebii.net/pokedex-swsh/pangoro","Fighting-type","Dark-type","675","Pangoro","","",""
"1596754059-5439","https://www.serebii.net/pokedex-swsh/pumpkaboo","Ghost-type","Grass-type","710","Pumpkaboo","","",""
"1596754394-5613","https://www.serebii.net/pokedex-swsh/venipede","Bug-type","Poison-type","543","Venipede","","",""
"1596754974-5915","https://www.serebii.net/pokedex-sm/254.shtml","Grass-type","null","254","Sceptile","","",""
"1596755379-6135","https://www.serebii.net/pokedex-swsh/meowth","Normal-type","null","52","Meowth","Galarian","Steel-type","null"
"1596754484-5658","https://www.serebii.net/pokedex-sm/498.shtml","Fire-type","null","498","Tepig","","",""
"1596754966-5911","https://www.serebii.net/pokedex-sm/258.shtml","Water-type","null","258","Mudkip","","",""
"1596754884-5868","https://www.serebii.net/pokedex-sm/299.shtml","Rock-type","null","299","Nosepass","","",""
"1596753927-5369","https://www.serebii.net/pokedex-swsh/turtonator","Fire-type","Dragon-type","776","Turtonator","","",""
"1596754526-5685","https://www.serebii.net/pokedex-swsh/dusknoir","Ghost-type","null","477","Dusknoir","","",""
"1596754666-5757","https://www.serebii.net/pokedex-swsh/roserade","Grass-type","Poison-type","407","Roserade","","",""
"1596754153-5486","https://www.serebii.net/pokedex-swsh/talonflame","Fire-type","Flying-type","663","Talonflame","","",""
"1596755303-6084","https://www.serebii.net/pokedex-swsh/shellder","Water-type","null","90","Shellder","","",""
"1596754564-5704","https://www.serebii.net/pokedex-swsh/mantyke","Water-type","Flying-type","458","Mantyke","","",""
"1596754786-5820","https://www.serebii.net/pokedex-sm/347.shtml","Rock-type","Bug-type","347","Anorith","","",""
"1596754820-5837","https://www.serebii.net/pokedex-swsh/flygon","Ground-type","Dragon-type","330","Flygon","","",""
"1596753985-5398","https://www.serebii.net/pokedex-swsh/mareanie","Poison-type","Water-type","747","Mareanie","","",""
"1596754756-5802","https://www.serebii.net/pokedex-swsh/glalie","Ice-type","null","362","Glalie","","",""
"1596755002-5929","https://www.serebii.net/pokedex-sm/240.shtml","Fire-type","null","240","Magby","","",""
"1596755332-6106","https://www.serebii.net/pokedex-sm/076.shtml","Rock-type","Ground-type","76","Golem","Alolan","Rock-type","Electric-type"
"1596754430-5631","https://www.serebii.net/pokedex-swsh/boldore","Rock-type","null","525","Boldore","","",""
"1596754071-5445","https://www.serebii.net/pokedex-swsh/goomy","Dragon-type","null","704","Goomy","","",""
"1596754594-5719","https://www.serebii.net/pokedex-sm/443.shtml","Dragon-type","Ground-type","443","Gible","","",""
"1596754456-5644","https://www.serebii.net/pokedex-sm/512.shtml","Grass-type","null","512","Simisage","","",""
"1596754876-5864","https://www.serebii.net/pokedex-swsh/mawile","Steel-type","Fairy-type","303","Mawile","","",""
"1596753805-5306","https://www.serebii.net/pokedex-swsh/rolycoly","Rock-type","null","837","Rolycoly","","",""
"1596754814-5834","https://www.serebii.net/pokedex-sm/333.shtml","Normal-type","Flying-type","333","Swablu","","",""
"1596755390-6142","https://www.serebii.net/pokedex-sm/047.shtml","Bug-type","Grass-type","47","Parasect","","",""
"1596755205-6031","https://www.serebii.net/pokedex-sm/139.shtml","Rock-type","Water-type","139","Omastar","","",""
"1596753764-5286","https://www.serebii.net/pokedex-swsh/hattrem","Psychic-type","null","857","Hattrem","","",""
"1596755042-5950","https://www.serebii.net/pokedex-swsh/swinub","Ice-type","Ground-type","220","Swinub","","",""
"1596754229-5525","https://www.serebii.net/pokedex-swsh/bisharp","Dark-type","Steel-type","625","Bisharp","","",""
"1596754744-5796","https://www.serebii.net/pokedex-sm/368.shtml","Water-type","null","368","Gorebyss","","",""
"1596754702-5775","https://www.serebii.net/pokedex-sm/389.shtml","Grass-type","Ground-type","389","Torterra","","",""
"1596755220-6039","https://www.serebii.net/pokedex-swsh/lapras","Water-type","Ice-type","131","Lapras","","",""
"1596753827-5317","https://www.serebii.net/pokedex-swsh/orbeetle","Bug-type","Psychic-type","826","Orbeetle","","",""
"1596754730-5789","https://www.serebii.net/pokedex-sm/375.shtml","Steel-type","Psychic-type","375","Metang","","",""
"1596754742-5795","https://www.serebii.net/pokedex-sm/369.shtml","Water-type","Rock-type","369","Relicanth","","",""
"1596755088-5973","https://www.serebii.net/pokedex-swsh/umbreon","Dark-type","null","197","Umbreon","","",""
"1596753754-5281","https://www.serebii.net/pokedex-swsh/obstagoon","Dark-type","Normal-type","862","Obstagoon","","",""
"1596755402-6148","https://www.serebii.net/pokedex-sm/041.shtml","Poison-type","Flying-type","41","Zubat","","",""
"1596754931-5892","https://www.serebii.net/pokedex-swsh/shiftry","Grass-type","Dark-type","275","Shiftry","","",""
"1596754041-5430","https://www.serebii.net/pokedex-sm/719.shtml","Rock-type","Fairy-type","719","Diancie","","",""
"1596754408-5620","https://www.serebii.net/pokedex-swsh/palpitoad","Water-type","Ground-type","536","Palpitoad","","",""
"1596755408-6151","https://www.serebii.net/pokedex-swsh/ninetales","Fire-type","Fairy-type","38","Ninetales","Normal","Fire-type","null"
"1596755299-6082","https://www.serebii.net/pokedex-swsh/gastly","Ghost-type","Poison-type","92","Gastly","","",""
"1596753734-5271","https://www.serebii.net/pokedex-swsh/snom","Ice-type","Bug-type","872","Snom","","",""
"1596754446-5639","https://www.serebii.net/pokedex-swsh/munna","Psychic-type","null","517","Munna","","",""
"1596754534-5689","https://www.serebii.net/pokedex-swsh/mamoswine","Ice-type","Ground-type","473","Mamoswine","","",""
"1596754428-5630","https://www.serebii.net/pokedex-swsh/gigalith","Rock-type","null","526","Gigalith","","",""
"1596754366-5595","https://www.serebii.net/pokedex-swsh/dwebble","Bug-type","Rock-type","557","Dwebble","","",""
"1596754031-5424","https://www.serebii.net/pokedex-swsh/decidueye","Grass-type","Ghost-type","724","Decidueye","","",""
"1596754330-5576","https://www.serebii.net/pokedex-swsh/gothorita","Psychic-type","null","575","Gothorita","","",""
"1596754496-5665","https://www.serebii.net/pokedex-sm/492.shtml","Grass-type","Flying-type","492","Shaymin","Sky Forme","Grass-type","Flying-type"
"1596754197-5509","https://www.serebii.net/pokedex-sm/641.shtml","Flying-type","null","641","Tornadus","","",""
"1596754137-5478","https://www.serebii.net/pokedex-sm/671.shtml","Fairy-type","null","671","Florges","","",""
"1596755480-6193","https://www.serebii.net/pokedex-swsh/venusaur","Grass-type","Poison-type","3","Venusaur","","",""
"1596753959-5385","https://www.serebii.net/pokedex-swsh/bewear","Normal-type","Fighting-type","760","Bewear","","",""
"1596755321-6096","https://www.serebii.net/pokedex-swsh/magnemite","Electric-type","Steel-type","81","Magnemite","","",""
"1596754950-5901","https://www.serebii.net/pokedex-sm/266.shtml","Bug-type","null","266","Silcoon","","",""
"1596755228-6043","https://www.serebii.net/pokedex-swsh/pinsir","Bug-type","null","127","Pinsir","","",""
"1596755263-6062","https://www.serebii.net/pokedex-swsh/weezing","Poison-type","Fairy-type","110","Weezing","Galarian","Poison-type","Fairy-type"
"1596754900-5876","https://www.serebii.net/pokedex-swsh/ninjask","Bug-type","Flying-type","291","Ninjask","","",""
"1596754157-5488","https://www.serebii.net/pokedex-swsh/fletchling","Normal-type","Flying-type","661","Fletchling","","",""
"1596753694-5249","https://www.serebii.net/pokedex-swsh/urshifu","Fighting-type","Fighting-type","892","Urshifu","Rapid Strike Style","Fighting-type","Water-type"
"1596754911-5882","https://www.serebii.net/pokedex-sm/285.shtml","Grass-type","null","285","Shroomish","","",""
"1596754857-5855","https://www.serebii.net/pokedex-sm/312.shtml","Electric-type","null","312","Minun","","",""
"1596754584-5714","https://www.serebii.net/pokedex-swsh/lucario","Fighting-type","Steel-type","448","Lucario","","",""
"1596753706-5257","https://www.serebii.net/pokedex-swsh/drakloak","Dragon-type","Ghost-type","886","Drakloak","","",""
"1596754778-5815","https://www.serebii.net/pokedex-sm/351.shtml","Normal-type","null","351","Castform","Rainy Form","Water-type","null"
"1596753973-5392","https://www.serebii.net/pokedex-swsh/fomantis","Grass-type","null","753","Fomantis","","",""
"1596754141-5480","https://www.serebii.net/pokedex-sm/669.shtml","Fairy-type","null","669","Flabébé","","",""
"1596754340-5581","https://www.serebii.net/pokedex-swsh/zorua","Dark-type","null","570","Zorua","","",""
"1596753917-5364","https://www.serebii.net/pokedex-swsh/dhelmise","Ghost-type","Grass-type","781","Dhelmise","","",""
"1596754370-5600","https://www.serebii.net/pokedex-swsh/darmanitan","Fire-type","Psychic-type","555","Darmanitan","Zen Mode","Ice-type","Psychic-type"
"1596755283-6074","https://www.serebii.net/pokedex-sm/100.shtml","Electric-type","null","100","Voltorb","","",""
"1596754349-5586","https://www.serebii.net/pokedex-sm/565.shtml","Water-type","Rock-type","565","Carracosta","","",""
"1596754810-5832","https://www.serebii.net/pokedex-sm/335.shtml","Normal-type","null","335","Zangoose","","",""
"1596753911-5361","https://www.serebii.net/pokedex-swsh/kommo-o","Dragon-type","Fighting-type","784","Kommo-o","","",""
"1596755281-6073","https://www.serebii.net/pokedex-sm/101.shtml","Electric-type","null","101","Electrode","","",""
"1596753817-5312","https://www.serebii.net/pokedex-swsh/wooloo","Normal-type","null","831","Wooloo","","",""
"1596754356-5590","https://www.serebii.net/pokedex-swsh/yamask","Ghost-type","Ghost-type","562","Yamask","Galarian","Ground-type","Ghost-type"
"1596754576-5710","https://www.serebii.net/pokedex-swsh/drapion","Poison-type","Dark-type","452","Drapion","","",""
"1596754638-5741","https://www.serebii.net/pokedex-swsh/cherrim","Grass-type","null","421","Cherrim","","",""
"1596754630-5737","https://www.serebii.net/pokedex-swsh/drifloon","Ghost-type","Flying-type","425","Drifloon","","",""
"1596754636-5740","https://www.serebii.net/pokedex-swsh/shellos","Water-type","null","422","Shellos","","",""
"1596754528-5686","https://www.serebii.net/pokedex-sm/476.shtml","Rock-type","Steel-type","476","Probopass","","",""
"1596754847-5850","https://www.serebii.net/pokedex-sm/317.shtml","Poison-type","null","317","Swalot","","",""
"1596753965-5388","https://www.serebii.net/pokedex-swsh/salandit","Poison-type","Fire-type","757","Salandit","","",""
"1596753919-5365","https://www.serebii.net/pokedex-swsh/drampa","Normal-type","Dragon-type","780","Drampa","","",""
"1596754044-5431","https://www.serebii.net/pokedex-sm/718.shtml","Dragon-type","Ground-type","718","Zygarde","","",""
"1596754608-5726","https://www.serebii.net/pokedex-swsh/bronzor","Steel-type","Psychic-type","436","Bronzor","","",""
"1596754268-5545","https://www.serebii.net/pokedex-swsh/beheeyem","Psychic-type","null","606","Beheeyem","","",""
"1596753975-5393","https://www.serebii.net/pokedex-swsh/araquanid","Water-type","Bug-type","752","Araquanid","","",""
"1596755470-6188","https://www.serebii.net/pokedex-swsh/wartortle","Water-type","null","8","Wartortle","","",""
"1596755279-6072","https://www.serebii.net/pokedex-swsh/exeggcute","Grass-type","Psychic-type","102","Exeggcute","","",""
"1596754894-5873","https://www.serebii.net/pokedex-swsh/loudred","Normal-type","null","294","Loudred","","",""
"1596755001-5928","https://www.serebii.net/pokedex-swsh/miltank","Normal-type","null","241","Miltank","","",""
"1596754580-5712","https://www.serebii.net/pokedex-swsh/hippowdon","Ground-type","null","450","Hippowdon","","",""
"1596753999-5408","https://www.serebii.net/pokedex-sm/740.shtml","Fighting-type","Ice-type","740","Crabominable","","",""
"1596755355-6120","https://www.serebii.net/pokedex-swsh/kadabra","Psychic-type","null","64","Kadabra","","",""
"1596755445-6174","https://www.serebii.net/pokedex-sm/020.shtml","Normal-type","Normal-type","20","Raticate","Normal","Normal-type","null"
"1596753712-5260","https://www.serebii.net/pokedex-swsh/arctovish","Water-type","Ice-type","883","Arctovish","","",""
"1596755154-6006","https://www.serebii.net/pokedex-swsh/noctowl","Normal-type","Flying-type","164","Noctowl","","",""
"1596754468-5650","https://www.serebii.net/pokedex-swsh/lillipup","Normal-type","null","506","Lillipup","","",""
"1596755316-6092","https://www.serebii.net/pokedex-sm/084.shtml","Normal-type","Flying-type","84","Doduo","","",""
"1596754700-5774","https://www.serebii.net/pokedex-sm/390.shtml","Fire-type","null","390","Chimchar","","",""
"1596755263-6061","https://www.serebii.net/pokedex-swsh/weezing","Poison-type","Fairy-type","110","Weezing","Normal","Poison-type","null"
"1596754945-5899","https://www.serebii.net/pokedex-sm/268.shtml","Bug-type","null","268","Cascoon","","",""
"1596753696-5250","https://www.serebii.net/pokedex-swsh/kubfu","Fighting-type","null","891","Kubfu","","",""
"1596753981-5396","https://www.serebii.net/pokedex-swsh/mudbray","Ground-type","null","749","Mudbray","","",""
"1596754347-5585","https://www.serebii.net/pokedex-sm/566.shtml","Rock-type","Flying-type","566","Archen","","",""
"1596754460-5646","https://www.serebii.net/pokedex-swsh/liepard","Dark-type","null","510","Liepard","","",""
"1596755170-6014","https://www.serebii.net/pokedex-sm/156.shtml","Fire-type","null","156","Quilava","","",""
"1596755379-6133","https://www.serebii.net/pokedex-swsh/meowth","Normal-type","null","52","Meowth","Normal","Normal-type","null"
"1596754504-5669","https://www.serebii.net/pokedex-sm/488.shtml","Psychic-type","null","488","Cresselia","","",""
"1596753825-5316","https://www.serebii.net/pokedex-swsh/nickit","Dark-type","null","827","Nickit","","",""
"1596755445-6175","https://www.serebii.net/pokedex-sm/020.shtml","Normal-type","Normal-type","20","Raticate","Alolan","Dark-type","Normal-type"
"1596754122-5470","https://www.serebii.net/pokedex-swsh/honedge","Steel-type","Ghost-type","679","Honedge","","",""
"1596755418-6158","https://www.serebii.net/pokedex-sm/033.shtml","Poison-type","null","33","Nidorino","","",""
"1596754338-5580","https://www.serebii.net/pokedex-swsh/zoroark","Dark-type","null","571","Zoroark","","",""
"1596755267-6064","https://www.serebii.net/pokedex-swsh/lickitung","Normal-type","null","108","Lickitung","","",""
"1596755383-6139","https://www.serebii.net/pokedex-swsh/diglett","Ground-type","Steel-type","50","Diglett","Alolan","Ground-type","Steel-type"
"1596753991-5401","https://www.serebii.net/pokedex-swsh/rockruff","Rock-type","null","744","Rockruff","","",""
"1596754087-5453","https://www.serebii.net/pokedex-sm/696.shtml","Rock-type","Dragon-type","696","Tyrunt","","",""
"1596754956-5905","https://www.serebii.net/pokedex-swsh/zigzagoon","Normal-type","Normal-type","263","Zigzagoon","Normal","Normal-type","null"
"1596753809-5308","https://www.serebii.net/pokedex-swsh/yamper","Electric-type","null","835","Yamper","","",""
"1596755458-6182","https://www.serebii.net/pokedex-sm/014.shtml","Bug-type","Poison-type","14","Kakuna","","",""
"1596753748-5278","https://www.serebii.net/pokedex-swsh/sirfetch'd","Fighting-type","null","865","Sirfetch'd","","",""
"1596754794-5824","https://www.serebii.net/pokedex-swsh/baltoy","Ground-type","Psychic-type","343","Baltoy","","",""
"1596754690-5769","https://www.serebii.net/pokedex-sm/395.shtml","Water-type","Steel-type","395","Empoleon","","",""
"1596753700-5252","https://www.serebii.net/pokedex-swsh/zamazenta","Fighting-type","Steel-type","889","Zamazenta","Hero of Many Battles","Fighting-type","null"
"1596753718-5263","https://www.serebii.net/pokedex-swsh/dracozolt","Electric-type","Dragon-type","880","Dracozolt","","",""
"1596754818-5836","https://www.serebii.net/pokedex-sm/331.shtml","Grass-type","null","331","Cacnea","","",""
"1596754007-5412","https://www.serebii.net/pokedex-swsh/grubbin","Bug-type","null","736","Grubbin","","",""
"1596754286-5554","https://www.serebii.net/pokedex-swsh/ferroseed","Grass-type","Steel-type","597","Ferroseed","","",""
"1596755028-5942","https://www.serebii.net/pokedex-swsh/skarmory","Steel-type","Flying-type","227","Skarmory","","",""
"1596754540-5692","https://www.serebii.net/pokedex-swsh/leafeon","Grass-type","null","470","Leafeon","","",""
"1596753700-5253","https://www.serebii.net/pokedex-swsh/zamazenta","Fighting-type","Steel-type","889","Zamazenta","Crowned Shield","Fighting-type","Steel-type"
"1596753867-5337","https://www.serebii.net/pokedex-sm/806.shtml","Fire-type","Ghost-type","806","Blacephalon","","",""
"1596754570-5707","https://www.serebii.net/pokedex-sm/455.shtml","Grass-type","null","455","Carnivine","","",""
"1596754003-5410","https://www.serebii.net/pokedex-swsh/vikavolt","Bug-type","Electric-type","738","Vikavolt","","",""
"1596754026-5421","https://www.serebii.net/pokedex-swsh/incineroar","Fire-type","Dark-type","727","Incineroar","","",""
"1596754178-5498","https://www.serebii.net/pokedex-sm/651.shtml","Grass-type","null","651","Quilladin","","",""
"1596755379-6134","https://www.serebii.net/pokedex-swsh/meowth","Normal-type","null","52","Meowth","Alolan","Dark-type","null"
"1596754298-5560","https://www.serebii.net/pokedex-swsh/amoonguss","Grass-type","Poison-type","591","Amoonguss","","",""
"1596754828-5841","https://www.serebii.net/pokedex-sm/326.shtml","Psychic-type","null","326","Grumpig","","",""
"1596753883-5347","https://www.serebii.net/pokedex-sm/798.shtml","Grass-type","Steel-type","798","Kartana","","",""
"1596755464-6185","https://www.serebii.net/pokedex-swsh/metapod","Bug-type","null","11","Metapod","","",""
"1596754113-5466","https://www.serebii.net/pokedex-swsh/aromatisse","Fairy-type","null","683","Aromatisse","","",""
"1596754728-5788","https://www.serebii.net/pokedex-sm/376.shtml","Steel-type","Psychic-type","376","Metagross","","",""
"1596755447-6176","https://www.serebii.net/pokedex-sm/019.shtml","Normal-type","Normal-type","19","Rattata","Normal","Normal-type","null"
"1596754606-5725","https://www.serebii.net/pokedex-swsh/bronzong","Steel-type","Psychic-type","437","Bronzong","","",""
"1596754210-5515","https://www.serebii.net/pokedex-swsh/hydreigon","Dark-type","Dragon-type","635","Hydreigon","","",""
"1596754039-5428","https://www.serebii.net/pokedex-sm/720.shtml","Psychic-type","Ghost-type","720","Hoopa","Hoopa Confined","Psychic-type","Ghost-type"
"1596755048-5953","https://www.serebii.net/pokedex-sm/217.shtml","Normal-type","null","217","Ursaring","","",""
"1596753781-5294","https://www.serebii.net/pokedex-swsh/toxtricity","Electric-type","Poison-type","849","Toxtricity","","",""
"1596755469-6187","https://www.serebii.net/pokedex-swsh/blastoise","Water-type","null","9","Blastoise","","",""
"1596753997-5406","https://www.serebii.net/pokedex-sm/741.shtml","Fire-type","Flying-type","741","Oricorio","Pa'u Style","Psychic-type","Flying-type"
"1596753738-5273","https://www.serebii.net/pokedex-swsh/falinks","Fighting-type","null","870","Falinks","","",""
"1596754351-5587","https://www.serebii.net/pokedex-sm/564.shtml","Water-type","Rock-type","564","Tirtouga","","",""
